DataProvider, AccessionNumber, SpecimenType, TypeStatus, Exsiccata, Flags, Notes, SpecimenLinks, DuplicatesAt, OtherCatalogNumbers, AssignedReferenceNumbers, TaxonName_C1, Determiner_C1, DeterminersRefNo_C1, IdentificationType_C1, IdentificationDateISO_C1, IdentifiersNote_C1, PreferredName_C1, VernacularName_C1, PartAffected_C1, Substrate_C1, AssociationType_C1, Association_C1, PreviousIdentifications_C1, TaxonName_C2, Determiner_C2, DeterminersRefNo_C2, IdentificationType_C2, IdentificationDateISO_C2, IdentifiersNote_C2, PreferredName_C2, VernacularName_C2, PartAffected_C2, Substrate_C2, AssociationType_C2, Association_C2, PreviousIdentifications_C2, OtherComponents, Contributor, ContributorRefNo, Isolator, IsolationDate, ReceivedFrom, ReceivedDate, SpecimenEvents, Country_CE1, VerbatimCountry_CE1, LandDistrict_CE1, NZAreaCode_CE1, EcologicalDistrict_CE1, Locality_CE1, Collector_CE1, CollectionDate_CE1, CollectionDateISO_CE1, Habitat_CE1, MicroHabitat_CE1, Altitude_CE1, LocalHeight_CE1, GeoReference_CE1, DecimalLatitude_CE1, DecimalLongitude_CE1, Abundance_CE1, Method_CE1, Keywords_CE1, Context_CE1, Country_CE2, VerbatimCountry_CE2, LandDistrict_CE2, NZAreaCode_CE2, EcologicalDistrict_CE2, Locality_CE2, Collector_CE2, CollectionDate_CE2, CollectionDateISO_CE2, Habitat_CE2, MicroHabitat_CE2, Altitude_CE2, LocalHeight_CE2, GeoReference_CE2, DecimalLatitude_CE2, DecimalLongitude_CE2, Abundance_CE2, Method_CE2, Keywords_CE2, Context_CE2, OtherCollectionEvents, SpecimenId, DataAccessLevel, IsDeaccessioned
"International Collection Of Micro-organisms","ICMP 22017","Fungal Culture","","","MPI: Restricted Culture; Price Category: Category 1","Characterised as: Sequencing of ITS and LSU gene.; Other Details: This is a new record for New Zealand. The organism has been reported from Australia as a turf pathogen and as a root growth promoter from USA.","","","","","Phialocephala bamuru P.T.W. Wong & C. Dong 2015","B. Weir","","Determination","2016-03-20","","Phialocephala bamuru P.T.W. Wong & C. Dong","","","","","","",,,,,,,,,,,,,,"","M. Toome","T16-01152",,,,,"","New Zealand","","","","","Auckland","","","","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","B2352313-6EA9-424B-97A5-2A6754E164FC","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20278","Chromist Culture","","","Price Category: Category 1","Growth Conditions: V8 agar; Pathogenic to: Kauri; Characterised as: Identified by morphology & ITS sequencing","","","","","Phytophthora cryptogea Pethybr. & Laff. 1919","I. Horner","H245","Determination","2010-05-03","","Phytophthora cryptogea Pethybr. & Laff. 1919","","","Soil, roots and wood from Kauri causing sudden collapse of Kauri seedlings","isolated from","","",,,,,,,,,,,,,,"","I. Horner","H245","E. Hough","2010-05-03",,,"","New Zealand","New Zealand","","Auckland","","Clevedon","Auckland Council","2010","2010-00-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","2EE6E96C-325A-4C02-883E-54FB0F2BBF1D","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20243","Fungal Culture","","","Price Category: Category 1","Characterised as: By sequencing","","","","","Pseudeurotium bakeri ","N. Anand","","Determination","","","Pseudeurotium bakeri C. Booth 1961","","","","isolated from","isolated from Ranunculus acris L.","","Ranunculus acris L.","","","Determination","","","Ranunculus acris L.","Giant buttercup","Root","","","","","","C. Probst","GBC-Fungus105","C. Probst","2013-12-00",,,"","New Zealand","New Zealand","","Southland","","Lumsden","D. Goeke","28 Nov 2013","2013-11-28","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","065B4D84-D70D-4C6E-B30F-AF03782A86EB","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20241","Fungal Culture","","","Price Category: Category 1","Characterised as: By sequencing","","","","","Fusarium oxysporum Schltdl.","N. Anand","","Determination","","","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Ranunculus acris L.","","Ranunculus acris L.","","","Determination","","","Ranunculus acris L.","Giant buttercup","Root","","","","","","C. Probst","GBC-Fungus101","C. Probst","2013-11-00",,,"","New Zealand","New Zealand","","Taranaki","","Mangatoki, Eltham","C. Winks","19 Nov 2013","2013-11-19","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","3DAAEC91-2FD4-4943-811C-571CA41734DF","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20236","Fungal Culture","","","Price Category: Category 1","Characterised as: By sequencing","","","","","Penicillium sp.","N. Anand","","Determination","","","Penicillium Link 1809","","","","isolated from","isolated from Ranunculus acris L.","","Ranunculus acris L.","","","Determination","","","Ranunculus acris L.","Giant buttercup","Root","","","","","","C. Probst","GBC-Fungus 94","C. Probst","2013-11-00",,,"","New Zealand","New Zealand","","Taranaki","","Eltham","C. Winks","19 Nov 2013","2013-11-19","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","DD9BFCBB-BDF4-457E-A478-CAE422EAE64A","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20221","Fungal Culture","","","Price Category: Category 1","Characterised as: By sequencing","","","","","Microdochium phragmitis Syd. 1924","N. Anand","","Determination","","","Microdochium phragmitis Syd.","","","","isolated from","isolated from Ranunculus acris L.","","Ranunculus acris L.","","","Determination","","","Ranunculus acris L.","Giant buttercup","Root","","","","","","C. Probst","GBC-Fungus62","C. Probst","2013-12-00",,,"","New Zealand","New Zealand","","Southland","","Lumsden","D. Goeke","28 Nov 2013","2013-11-28","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","E9428547-4FCC-4902-B4CB-24EEC4D0C13F","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 20215","Fungal Culture","","","Price Category: Category 1","Characterised as: By sequencing","","","","","Chaetomium globosum Kunze 1817","N. Anand","","Determination","","","Chaetomium globosum Kunze 1817","","","","isolated from","isolated from Ranunculus acris L.","","Ranunculus acris L.","","","Determination","","","Ranunculus acris L.","Giant buttercup","Root","","","","","","C. Probst","GBC-Fungus50","C. Probst","2013-12-00",,,"","New Zealand","New Zealand","","Southland","","Pourakino","D. Goeke","27 Nov 2013","2013-11-27","","","","","","","","","","","Unknown",,,,,,,,,,,,,,,,,,,,,"","A199D6D3-EA23-4A80-96CC-6809268B6304","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 18553","Fungal Culture","","","MPI: Restricted Culture; Grade: a; Price Category: Category 2","Characterised as: GenBank ITS AFO69505; Growth Conditions: MMN or 1/2 MMN 15-20 C for 4-8 weeks in dark","","","","","Rhizoscyphus ericae (D.J. Read) W.Y. Zhuang & Korf","","","Determination","","","Rhizoscyphus ericae (D.J. Read) W.Y. Zhuang & Korf 2004","","","","isolated from","isolated from Calluna vulgaris","TaxonName: Rhizoscyphus ericae","Calluna vulgaris","","","Determination","","","Calluna vulgaris (L.) Hull","","ericoid mycorrhizal hair root","","","","","","G.A. Grelet","UAMH7357","","1973-01-01",,,"Ex, actioned by D. Read on 1973-01-01","United Kingdom","United Kingdom","","","","England","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","B8909780-9162-4597-A0D6-3681BCBEF6FB","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 10622","Fungal Culture","","","Price Category: Category 1","","","","","","Gibberella pulicaris (Fr.) Sacc.","","","Determination","","","Fusarium sambucinum Fuckel 1870 [1869-70]","","","","isolated from","isolated from Medicago sp.","TaxonName: Gibberella pulicaris","Medicago sp.","","","Determination","","","Medicago","","roots","","","","","","G. Laundon","LEV 18097","","1981-05-01",,,"","New Zealand","New Zealand","","Taranaki","","Oakura","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","AA8BF2B1-ED8D-4C82-9E32-516DA89EC4B4","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 5223","Fungal Culture","","","Price Category: Category 1","","","NRRL","38505","PDDCC: PDDCC 5223","Fusarium oxysporum Schltdl.","","","Determination","","based on EF1a and IGS, Johnston et al. 2007 Landcare Research Contract Report:  LC0607/177,  referred to as 'saprobe Clade M'; based on EF1a matches haplotypes ST 26, 73, 107, 221, 226, 230 sensu O'Donnell et al. Fungal Genetics and Biology 46: 936-948, 2009","Fusarium oxysporum Schltdl.","","","","isolated from","isolated from Glycine max (L.) Merr.","TaxonName: Fusarium oxysporum","Glycine max (L.) Merr.","","","Determination","","","Glycine max (L.) Merr.","soybean","root","","","","","","J.M. Dingley","6922","","1969-03-01",,,"","New Zealand","New Zealand","","Waikato","","Te Kauwhata","","","","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","448F35C4-DAFD-4268-A155-E80AACD0D26A","Public","FALSE",
"International Collection Of Micro-organisms","ICMP 15791","Bacterial Culture","","","Price Category: Category 1","Growth Conditions: YMA 26 C for 3 days","","","","","Mesorhizobium Jarvis et al. 1997","B. Weir","","Determination","","","Mesorhizobium Jarvis et al. 1997","","","","isolated from","isolated from Carmichaelia nana","TaxonName: Mesorhizobium sp.","Carmichaelia nana","","","Determination","","","Carmichaelia nana (Hook.f.) Hook.f.","","root nodule","","","","","","B. Weir","BSW74","","2004-11-01",,,"","New Zealand","New Zealand","","Taupo","","Tukino Mountain Road, Tongariro National Park","","Nov 2004","2004-11-00","","","","","","","","","","","Field",,,,,,,,,,,,,,,,,,,,,"","936008E2-DF7C-40E2-9D8F-E418FA686281","Public","FALSE",
